All_isequal,A_df1,A_df2,A_isequal,B_df1,B_df2,B_isequal,C_df1,C_df2,C_isequal,D_df1,D_df2,D_isequal,E_df1,E_df2,E_isequal
True,510.0,510.0,True,133.0,133.0,True,146.0,146.0,True,fbvofigesg,fbvofigesg,True,zdtjamjnql,zdtjamjnql,True
True,379.0,379.0,True,970.0,970.0,True,384.0,384.0,True,tlymfpehaj,tlymfpehaj,True,iuzemasxup,iuzemasxup,True
True,288.0,288.0,True,477.0,477.0,True,562.0,562.0,True,wqcffrrpco,wqcffrrpco,True,lmecjgmczy,lmecjgmczy,True
True,41.0,41.0,True,279.0,279.0,True,831.0,831.0,True,nymmmbobgk,nymmmbobgk,True,iuzemasxup,iuzemasxup,True
False,485.0,486.0,False,259.0,260.0,False,617.0,618.0,False,lblbzlxdgm,owxhsmekyp,False,zdtjamjnql,zdtjamjnql,True
True,950.0,950.0,True,381.0,381.0,True,510.0,510.0,True,xcpzyeuplr,xcpzyeuplr,True,lmecjgmczy,lmecjgmczy,True
True,9.0,9.0,True,838.0,838.0,True,408.0,408.0,True,ouradkbgcn,ouradkbgcn,True,iuzemasxup,iuzemasxup,True
False,57.0,58.0,False,939.0,940.0,False,96.0,97.0,False,fbvofigesg,wqcffrrpco,False,ascbzxjlhl,ascbzxjlhl,True
True,748.0,748.0,True,591.0,591.0,True,18.0,18.0,True,snqkmqrzga,snqkmqrzga,True,lmecjgmczy,lmecjgmczy,True
False,153.0,154.0,False,422.0,423.0,False,852.0,853.0,False,lblbzlxdgm,owxhsmekyp,False,ascbzxjlhl,ascbzxjlhl,True
True,425.0,425.0,True,625.0,625.0,True,560.0,560.0,True,nymmmbobgk,nymmmbobgk,True,zdtjamjnql,zdtjamjnql,True
False,673.0,,False,69.0,,False,323.0,,False,owxhsmekyp,,False,weosbzwpxt,,False
True,623.0,623.0,True,607.0,607.0,True,901.0,901.0,True,tlymfpehaj,tlymfpehaj,True,zdtjamjnql,zdtjamjnql,True
True,722.0,722.0,True,81.0,81.0,True,69.0,69.0,True,fbvofigesg,fbvofigesg,True,weosbzwpxt,weosbzwpxt,True
False,831.0,,False,785.0,,False,883.0,,False,snqkmqrzga,,False,lmecjgmczy,,False
True,256.0,256.0,True,892.0,892.0,True,815.0,815.0,True,ouradkbgcn,ouradkbgcn,True,zdtjamjnql,zdtjamjnql,True
True,522.0,522.0,True,737.0,737.0,True,577.0,577.0,True,tlymfpehaj,tlymfpehaj,True,lmecjgmczy,lmecjgmczy,True
True,17.0,17.0,True,666.0,666.0,True,865.0,865.0,True,mtyjsvebda,mtyjsvebda,True,iuzemasxup,iuzemasxup,True
True,545.0,545.0,True,794.0,794.0,True,957.0,957.0,True,owxhsmekyp,owxhsmekyp,True,ascbzxjlhl,ascbzxjlhl,True
True,316.0,316.0,True,371.0,371.0,True,825.0,825.0,True,wqcffrrpco,wqcffrrpco,True,zdtjamjnql,zdtjamjnql,True
True,209.0,209.0,True,16.0,16.0,True,856.0,856.0,True,owxhsmekyp,owxhsmekyp,True,iuzemasxup,iuzemasxup,True
False,731.0,,False,851.0,,False,138.0,,False,ouradkbgcn,,False,lmecjgmczy,,False
True,815.0,815.0,True,20.0,20.0,True,17.0,17.0,True,xcpzyeuplr,xcpzyeuplr,True,iuzemasxup,iuzemasxup,True
False,416.0,417.0,False,386.0,387.0,False,520.0,521.0,False,fbvofigesg,mtyjsvebda,False,zdtjamjnql,weosbzwpxt,False
True,699.0,699.0,True,323.0,323.0,True,808.0,808.0,True,tlymfpehaj,tlymfpehaj,True,zdtjamjnql,zdtjamjnql,True
True,750.0,750.0,True,660.0,660.0,True,262.0,262.0,True,xcpzyeuplr,xcpzyeuplr,True,ascbzxjlhl,ascbzxjlhl,True
False,136.0,136.0,True,888888.0,312.0,False,649.0,649.0,True,snqkmqrzga,snqkmqrzga,True,lmecjgmczy,lmecjgmczy,True
True,313.0,313.0,True,157.0,157.0,True,430.0,430.0,True,fbvofigesg,fbvofigesg,True,lmecjgmczy,lmecjgmczy,True
True,959.0,959.0,True,801.0,801.0,True,760.0,760.0,True,mtyjsvebda,mtyjsvebda,True,zdtjamjnql,zdtjamjnql,True
True,514.0,514.0,True,268.0,268.0,True,93.0,93.0,True,fbvofigesg,fbvofigesg,True,weosbzwpxt,weosbzwpxt,True
True,311.0,311.0,True,730.0,730.0,True,654.0,654.0,True,nymmmbobgk,nymmmbobgk,True,iuzemasxup,iuzemasxup,True
True,795.0,795.0,True,298.0,298.0,True,165.0,165.0,True,tlymfpehaj,tlymfpehaj,True,weosbzwpxt,weosbzwpxt,True
False,768.0,,False,224.0,,False,121.0,,False,xcpzyeuplr,,False,lmecjgmczy,,False
True,255.0,255.0,True,222.0,222.0,True,749.0,749.0,True,lblbzlxdgm,lblbzlxdgm,True,iuzemasxup,iuzemasxup,True
False,9999999.0,809.0,False,539.0,539.0,True,814.0,814.0,True,nymmmbobgk,nymmmbobgk,True,ascbzxjlhl,ascbzxjlhl,True
False,66.0,67.0,False,952.0,953.0,False,122.0,123.0,False,lblbzlxdgm,fbvofigesg,False,lmecjgmczy,zdtjamjnql,False
True,973.0,973.0,True,945.0,945.0,True,883.0,883.0,True,wqcffrrpco,wqcffrrpco,True,iuzemasxup,iuzemasxup,True
True,715.0,715.0,True,369.0,369.0,True,774.0,774.0,True,snqkmqrzga,snqkmqrzga,True,weosbzwpxt,weosbzwpxt,True
True,185.0,185.0,True,117.0,117.0,True,509.0,509.0,True,tlymfpehaj,tlymfpehaj,True,zdtjamjnql,zdtjamjnql,True
True,326.0,326.0,True,32.0,32.0,True,169.0,169.0,True,snqkmqrzga,snqkmqrzga,True,zdtjamjnql,zdtjamjnql,True
True,690.0,690.0,True,573.0,573.0,True,431.0,431.0,True,lblbzlxdgm,lblbzlxdgm,True,zdtjamjnql,zdtjamjnql,True
